"level0","level1","level2","Sources of personal income(1)(2)","count"
"Interest, Dividends, Rent, Other Invest.","Mt Albert","North Island general electorates","Female",4857
"Payments from a Work Accident Insurer","Mt Albert","North Island general electorates","Female",144
"NZ Superannuation or Veterans Pension","Mt Albert","North Island general electorates","Female",2295
"Other Super., Pensions, Annuities","Mt Albert","North Island general electorates","Female",363
"Unemployment Benefit","Mt Albert","North Island general electorates","Female",672
"Sickness Benefit","Mt Albert","North Island general electorates","Female",609
"Domestic Purposes Benefit","Mt Albert","North Island general electorates","Female",645
"Invalids Benefit","Mt Albert","North Island general electorates","Female",393
"Student Allowance","Mt Albert","North Island general electorates","Female",1113
"Other Govt Benefits, Payments or Pension","Mt Albert","North Island general electorates","Female",1287
"Other Sources of Income","Mt Albert","North Island general electorates","Female",792
"No Source of Income During That Time(3)","Mt Albert","North Island general electorates","Female",2298
"Not Stated","Mt Albert","North Island general electorates","Female",1908
"Wages, Salary, Commissions, Bonuses etc","Mt Roskill","North Island general electorates","Female",13401
"Self–employment or Business","Mt Roskill","North Island general electorates","Female",2214
"Interest, Dividends, Rent, Other Invest.","Mt Roskill","North Island general electorates","Female",4341
"Payments from a Work Accident Insurer","Mt Roskill","North Island general electorates","Female",123
"NZ Superannuation or Veterans Pension","Mt Roskill","North Island general electorates","Female",3177
"Other Super., Pensions, Annuities","Mt Roskill","North Island general electorates","Female",417
"Unemployment Benefit","Mt Roskill","North Island general electorates","Female",765
"Sickness Benefit","Mt Roskill","North Island general electorates","Female",765
"Domestic Purposes Benefit","Mt Roskill","North Island general electorates","Female",798
"Invalids Benefit","Mt Roskill","North Island general electorates","Female",411
"Student Allowance","Mt Roskill","North Island general electorates","Female",1113
"Other Govt Benefits, Payments or Pension","Mt Roskill","North Island general electorates","Female",1290
"Other Sources of Income","Mt Roskill","North Island general electorates","Female",549
"No Source of Income During That Time(3)","Mt Roskill","North Island general electorates","Female",2898
"Not Stated","Mt Roskill","North Island general electorates","Female",1803
"Wages, Salary, Commissions, Bonuses etc","Napier","North Island general electorates","Female",15018
"Self–employment or Business","Napier","North Island general electorates","Female",2877
"Interest, Dividends, Rent, Other Invest.","Napier","North Island general electorates","Female",5616
"Payments from a Work Accident Insurer","Napier","North Island general electorates","Female",312
"NZ Superannuation or Veterans Pension","Napier","North Island general electorates","Female",6264
"Other Super., Pensions, Annuities","Napier","North Island general electorates","Female",723
"Unemployment Benefit","Napier","North Island general electorates","Female",756
"Sickness Benefit","Napier","North Island general electorates","Female",729
"Domestic Purposes Benefit","Napier","North Island general electorates","Female",1734
"Invalids Benefit","Napier","North Island general electorates","Female",885
"Student Allowance","Napier","North Island general electorates","Female",633
"Other Govt Benefits, Payments or Pension","Napier","North Island general electorates","Female",1932
"Other Sources of Income","Napier","North Island general electorates","Female",642
"No Source of Income During That Time(3)","Napier","North Island general electorates","Female",1740
"Not Stated","Napier","North Island general electorates","Female",1920
"Wages, Salary, Commissions, Bonuses etc","New Lynn","North Island general electorates","Female",12573
"Self–employment or Business","New Lynn","North Island general electorates","Female",2088
"Interest, Dividends, Rent, Other Invest.","New Lynn","North Island general electorates","Female",3852
"Payments from a Work Accident Insurer","New Lynn","North Island general electorates","Female",126
"NZ Superannuation or Veterans Pension","New Lynn","North Island general electorates","Female",3834
"Other Super., Pensions, Annuities","New Lynn","North Island general electorates","Female",438
"Unemployment Benefit","New Lynn","North Island general electorates","Female",654
"Sickness Benefit","New Lynn","North Island general electorates","Female",807
"Domestic Purposes Benefit","New Lynn","North Island general electorates","Female",909
"Invalids Benefit","New Lynn","North Island general electorates","Female",432
"Student Allowance","New Lynn","North Island general electorates","Female",834
"Other Govt Benefits, Payments or Pension","New Lynn","North Island general electorates","Female",1389
"Other Sources of Income","New Lynn","North Island general electorates","Female",477
"No Source of Income During That Time(3)","New Lynn","North Island general electorates","Female",2946
"Not Stated","New Lynn","North Island general electorates","Female",1974
"Wages, Salary, Commissions, Bonuses etc","New Plymouth","North Island general electorates","Female",14826
"Self–employment or Business","New Plymouth","North Island general electorates","Female",3171
"Interest, Dividends, Rent, Other Invest.","New Plymouth","North Island general electorates","Female",6048
"Payments from a Work Accident Insurer","New Plymouth","North Island general electorates","Female",279
"NZ Superannuation or Veterans Pension","New Plymouth","North Island general electorates","Female",5787
"Other Super., Pensions, Annuities","New Plymouth","North Island general electorates","Female",669
"Unemployment Benefit","New Plymouth","North Island general electorates","Female",423
"Sickness Benefit","New Plymouth","North Island general electorates","Female",540
"Domestic Purposes Benefit","New Plymouth","North Island general electorates","Female",1326
"Invalids Benefit","New Plymouth","North Island general electorates","Female",804
"Student Allowance","New Plymouth","North Island general electorates","Female",393
"Other Govt Benefits, Payments or Pension","New Plymouth","North Island general electorates","Female",1659
"Other Sources of Income","New Plymouth","North Island general electorates","Female",603
"No Source of Income During That Time(3)","New Plymouth","North Island general electorates","Female",2019
"Not Stated","New Plymouth","North Island general electorates","Female",1812
"Wages, Salary, Commissions, Bonuses etc","North Shore","North Island general electorates","Female",14439
"Self–employment or Business","North Shore","North Island general electorates","Female",3711
"Interest, Dividends, Rent, Other Invest.","North Shore","North Island general electorates","Female",7260
"Payments from a Work Accident Insurer","North Shore","North Island general electorates","Female",153
"NZ Superannuation or Veterans Pension","North Shore","North Island general electorates","Female",4803
"Other Super., Pensions, Annuities","North Shore","North Island general electorates","Female",753
"Unemployment Benefit","North Shore","North Island general electorates","Female",369
"Sickness Benefit","North Shore","North Island general electorates","Female",312
"Domestic Purposes Benefit","North Shore","North Island general electorates","Female",477
"Invalids Benefit","North Shore","North Island general electorates","Female",258
"Student Allowance","North Shore","North Island general electorates","Female",741
"Other Govt Benefits, Payments or Pension","North Shore","North Island general electorates","Female",1173
"Other Sources of Income","North Shore","North Island general electorates","Female",717
"No Source of Income During That Time(3)","North Shore","North Island general electorates","Female",2856
"Not Stated","North Shore","North Island general electorates","Female",1272
"Wages, Salary, Commissions, Bonuses etc","Northcote","North Island general electorates","Female",15144
"Self–employment or Business","Northcote","North Island general electorates","Female",2787
"Interest, Dividends, Rent, Other Invest.","Northcote","North Island general electorates","Female",4740
"Payments from a Work Accident Insurer","Northcote","North Island general electorates","Female",168
"NZ Superannuation or Veterans Pension","Northcote","North Island general electorates","Female",3624
"Other Super., Pensions, Annuities","Northcote","North Island general electorates","Female",555
"Unemployment Benefit","Northcote","North Island general electorates","Female",540
"Sickness Benefit","Northcote","North Island general electorates","Female",507
"Domestic Purposes Benefit","Northcote","North Island general electorates","Female",810
"Invalids Benefit","Northcote","North Island general electorates","Female",330
"Student Allowance","Northcote","North Island general electorates","Female",984
"Other Govt Benefits, Payments or Pension","Northcote","North Island general electorates","Female",1548
"Other Sources of Income","Northcote","North Island general electorates","Female",678
"No Source of Income During That Time(3)","Northcote","North Island general electorates","Female",2703
"Not Stated","Northcote","North Island general electorates","Female",1788
"Wages, Salary, Commissions, Bonuses etc","Northland","North Island general electorates","Female",13332
"Self–employment or Business","Northland","North Island general electorates","Female",4977
"Interest, Dividends, Rent, Other Invest.","Northland","North Island general electorates","Female",5421
"Payments from a Work Accident Insurer","Northland","North Island general electorates","Female",333
"NZ Superannuation or Veterans Pension","Northland","North Island general electorates","Female",6657
"Other Super., Pensions, Annuities","Northland","North Island general electorates","Female",774
"Unemployment Benefit","Northland","North Island general electorates","Female",1101
"Sickness Benefit","Northland","North Island general electorates","Female",1065
"Domestic Purposes Benefit","Northland","North Island general electorates","Female",2259
"Invalids Benefit","Northland","North Island general electorates","Female",1014
"Student Allowance","Northland","North Island general electorates","Female",489
"Other Govt Benefits, Payments or Pension","Northland","North Island general electorates","Female",1869
"Other Sources of Income","Northland","North Island general electorates","Female",531
"No Source of Income During That Time(3)","Northland","North Island general electorates","Female",2307
"Not Stated","Northland","North Island general electorates","Female",3720
"Wages, Salary, Commissions, Bonuses etc","Ohariu","North Island general electorates","Female",15492
"Self–employment or Business","Ohariu","North Island general electorates","Female",2676
"Interest, Dividends, Rent, Other Invest.","Ohariu","North Island general electorates","Female",6777
"Payments from a Work Accident Insurer","Ohariu","North Island general electorates","Female",150
"NZ Superannuation or Veterans Pension","Ohariu","North Island general electorates","Female",3054
"Other Super., Pensions, Annuities","Ohariu","North Island general electorates","Female",756
"Unemployment Benefit","Ohariu","North Island general electorates","Female",366
"Sickness Benefit","Ohariu","North Island general electorates","Female",303
"Domestic Purposes Benefit","Ohariu","North Island general electorates","Female",459
"Invalids Benefit","Ohariu","North Island general electorates","Female",261
"Student Allowance","Ohariu","North Island general electorates","Female",489
"Other Govt Benefits, Payments or Pension","Ohariu","North Island general electorates","Female",1347
"Other Sources of Income","Ohariu","North Island general electorates","Female",678
"No Source of Income During That Time(3)","Ohariu","North Island general electorates","Female",2058
"Not Stated","Ohariu","North Island general electorates","Female",999
"Wages, Salary, Commissions, Bonuses etc","Otaki","North Island general electorates","Female",11976
"Self–employment or Business","Otaki","North Island general electorates","Female",2745
"Interest, Dividends, Rent, Other Invest.","Otaki","North Island general electorates","Female",6324
"Payments from a Work Accident Insurer","Otaki","North Island general electorates","Female",276
"NZ Superannuation or Veterans Pension","Otaki","North Island general electorates","Female",8688
"Other Super., Pensions, Annuities","Otaki","North Island general electorates","Female",1245
"Unemployment Benefit","Otaki","North Island general electorates","Female",714
"Sickness Benefit","Otaki","North Island general electorates","Female",558
"Domestic Purposes Benefit","Otaki","North Island general electorates","Female",1452
"Invalids Benefit","Otaki","North Island general electorates","Female",972
"Student Allowance","Otaki","North Island general electorates","Female",369
"Other Govt Benefits, Payments or Pension","Otaki","North Island general electorates","Female",1470
"Other Sources of Income","Otaki","North Island general electorates","Female",522
"No Source of Income During That Time(3)","Otaki","North Island general electorates","Female",1719
"Not Stated","Otaki","North Island general electorates","Female",1623
"Wages, Salary, Commissions, Bonuses etc","Pakuranga","North Island general electorates","Female",13725
"Self–employment or Business","Pakuranga","North Island general electorates","Female",2508
"Interest, Dividends, Rent, Other Invest.","Pakuranga","North Island general electorates","Female",5520
"Payments from a Work Accident Insurer","Pakuranga","North Island general electorates","Female",141
"NZ Superannuation or Veterans Pension","Pakuranga","North Island general electorates","Female",4152
"Other Super., Pensions, Annuities","Pakuranga","North Island general electorates","Female",612
"Unemployment Benefit","Pakuranga","North Island general electorates","Female",357
"Sickness Benefit","Pakuranga","North Island general electorates","Female",477
"Domestic Purposes Benefit","Pakuranga","North Island general electorates","Female",618
"Invalids Benefit","Pakuranga","North Island general electorates","Female",192
"Student Allowance","Pakuranga","North Island general electorates","Female",717
"Other Govt Benefits, Payments or Pension","Pakuranga","North Island general electorates","Female",1215
"Other Sources of Income","Pakuranga","North Island general electorates","Female",546
"No Source of Income During That Time(3)","Pakuranga","North Island general electorates","Female",3060
"Not Stated","Pakuranga","North Island general electorates","Female",1299
"Wages, Salary, Commissions, Bonuses etc","Palmerston North","North Island general electorates","Female",15957
"Self–employment or Business","Palmerston North","North Island general electorates","Female",1878
"Interest, Dividends, Rent, Other Invest.","Palmerston North","North Island general electorates","Female",4959
"Payments from a Work Accident Insurer","Palmerston North","North Island general electorates","Female",321
"NZ Superannuation or Veterans Pension","Palmerston North","North Island general electorates","Female",4695
"Other Super., Pensions, Annuities","Palmerston North","North Island general electorates","Female",705
"Unemployment Benefit","Palmerston North","North Island general electorates","Female",786
"Sickness Benefit","Palmerston North","North Island general electorates","Female",576
"Domestic Purposes Benefit","Palmerston North","North Island general electorates","Female",1410
"Invalids Benefit","Palmerston North","North Island general electorates","Female",963
"Student Allowance","Palmerston North","North Island general electorates","Female",1623
"Other Govt Benefits, Payments or Pension","Palmerston North","North Island general electorates","Female",1860
"Other Sources of Income","Palmerston North","North Island general electorates","Female",1023
"No Source of Income During That Time(3)","Palmerston North","North Island general electorates","Female",1866
"Not Stated","Palmerston North","North Island general electorates","Female",1821
"Wages, Salary, Commissions, Bonuses etc","Papakura","North Island general electorates","Female",14439
"Self–employment or Business","Papakura","North Island general electorates","Female",2109
"Interest, Dividends, Rent, Other Invest.","Papakura","North Island general electorates","Female",4005
"Payments from a Work Accident Insurer","Papakura","North Island general electorates","Female",222
"NZ Superannuation or Veterans Pension","Papakura","North Island general electorates","Female",3810
"Other Super., Pensions, Annuities","Papakura","North Island general electorates","Female",411
"Unemployment Benefit","Papakura","North Island general electorates","Female",879
"Sickness Benefit","Papakura","North Island general electorates","Female",873
"Domestic Purposes Benefit","Papakura","North Island general electorates","Female",2214
"Invalids Benefit","Papakura","North Island general electorates","Female",567
"Student Allowance","Papakura","North Island general electorates","Female",720
"Other Govt Benefits, Payments or Pension","Papakura","North Island general electorates","Female",1647
"Other Sources of Income","Papakura","North Island general electorates","Female",483
"No Source of Income During That Time(3)","Papakura","North Island general electorates","Female",2757
"Not Stated","Papakura","North Island general electorates","Female",2505
"Wages, Salary, Commissions, Bonuses etc","Rangitikei","North Island general electorates","Female",14529
"Self–employment or Business","Rangitikei","North Island general electorates","Female",3399
"Interest, Dividends, Rent, Other Invest.","Rangitikei","North Island general electorates","Female",5124
"Payments from a Work Accident Insurer","Rangitikei","North Island general electorates","Female",327
"NZ Superannuation or Veterans Pension","Rangitikei","North Island general electorates","Female",4716
"Other Super., Pensions, Annuities","Rangitikei","North Island general electorates","Female",546
"Unemployment Benefit","Rangitikei","North Island general electorates","Female",597
"Sickness Benefit","Rangitikei","North Island general electorates","Female",570
"Domestic Purposes Benefit","Rangitikei","North Island general electorates","Female",1206
"Invalids Benefit","Rangitikei","North Island general electorates","Female",723
"Student Allowance","Rangitikei","North Island general electorates","Female",540
"Other Govt Benefits, Payments or Pension","Rangitikei","North Island general electorates","Female",1812
"Other Sources of Income","Rangitikei","North Island general electorates","Female",600
"No Source of Income During That Time(3)","Rangitikei","North Island general electorates","Female",2172
"Not Stated","Rangitikei","North Island general electorates","Female",1410
"Wages, Salary, Commissions, Bonuses etc","Rimutaka","North Island general electorates","Female",15243
"Self–employment or Business","Rimutaka","North Island general electorates","Female",1797
"Interest, Dividends, Rent, Other Invest.","Rimutaka","North Island general electorates","Female",4350
"Payments from a Work Accident Insurer","Rimutaka","North Island general electorates","Female",225
"NZ Superannuation or Veterans Pension","Rimutaka","North Island general electorates","Female",4710
"Other Super., Pensions, Annuities","Rimutaka","North Island general electorates","Female",714
"Unemployment Benefit","Rimutaka","North Island general electorates","Female",810
"Sickness Benefit","Rimutaka","North Island general electorates","Female",660
"Domestic Purposes Benefit","Rimutaka","North Island general electorates","Female",1599
"Invalids Benefit","Rimutaka","North Island general electorates","Female",741
"Student Allowance","Rimutaka","North Island general electorates","Female",528
"Other Govt Benefits, Payments or Pension","Rimutaka","North Island general electorates","Female",1833
"Other Sources of Income","Rimutaka","North Island general electorates","Female",621
"No Source of Income During That Time(3)","Rimutaka","North Island general electorates","Female",2190
"Not Stated","Rimutaka","North Island general electorates","Female",2010
"Wages, Salary, Commissions, Bonuses etc","Rodney","North Island general electorates","Female",12600
"Self–employment or Business","Rodney","North Island general electorates","Female",3534
"Interest, Dividends, Rent, Other Invest.","Rodney","North Island general electorates","Female",6489
"Payments from a Work Accident Insurer","Rodney","North Island general electorates","Female",237
"NZ Superannuation or Veterans Pension","Rodney","North Island general electorates","Female",6738
"Other Super., Pensions, Annuities","Rodney","North Island general electorates","Female",915
"Unemployment Benefit","Rodney","North Island general electorates","Female",336
"Sickness Benefit","Rodney","North Island general electorates","Female",456
"Domestic Purposes Benefit","Rodney","North Island general electorates","Female",996
"Invalids Benefit","Rodney","North Island general electorates","Female",402
"Student Allowance","Rodney","North Island general electorates","Female",432
"Other Govt Benefits, Payments or Pension","Rodney","North Island general electorates","Female",1314
"Other Sources of Income","Rodney","North Island general electorates","Female",513
"No Source of Income During That Time(3)","Rodney","North Island general electorates","Female",1968
"Not Stated","Rodney","North Island general electorates","Female",1356
"Wages, Salary, Commissions, Bonuses etc","Rongotai","North Island general electorates","Female",16572
"Self–employment or Business","Rongotai","North Island general electorates","Female",3174
"Interest, Dividends, Rent, Other Invest.","Rongotai","North Island general electorates","Female",5814
"Payments from a Work Accident Insurer","Rongotai","North Island general electorates","Female",177
"NZ Superannuation or Veterans Pension","Rongotai","North Island general electorates","Female",3105
"Other Super., Pensions, Annuities","Rongotai","North Island general electorates","Female",579
"Unemployment Benefit","Rongotai","North Island general electorates","Female",768
"Sickness Benefit","Rongotai","North Island general electorates","Female",489
"Domestic Purposes Benefit","Rongotai","North Island general electorates","Female",660
"Invalids Benefit","Rongotai","North Island general electorates","Female",474
"Student Allowance","Rongotai","North Island general electorates","Female",1017
"Other Govt Benefits, Payments or Pension","Rongotai","North Island general electorates","Female",1326
"Other Sources of Income","Rongotai","North Island general electorates","Female",828
"No Source of Income During That Time(3)","Rongotai","North Island general electorates","Female",1800
"Not Stated","Rongotai","North Island general electorates","Female",1722
"Wages, Salary, Commissions, Bonuses etc","Rotorua","North Island general electorates","Female",15651
"Self–employment or Business","Rotorua","North Island general electorates","Female",3177
"Interest, Dividends, Rent, Other Invest.","Rotorua","North Island general electorates","Female",4953
"Payments from a Work Accident Insurer","Rotorua","North Island general electorates","Female",276
"NZ Superannuation or Veterans Pension","Rotorua","North Island general electorates","Female",5142
"Other Super., Pensions, Annuities","Rotorua","North Island general electorates","Female",648
"Unemployment Benefit","Rotorua","North Island general electorates","Female",939
"Sickness Benefit","Rotorua","North Island general electorates","Female",819
"Domestic Purposes Benefit","Rotorua","North Island general electorates","Female",2229
"Invalids Benefit","Rotorua","North Island general electorates","Female",579
"Student Allowance","Rotorua","North Island general electorates","Female",654
"Other Govt Benefits, Payments or Pension","Rotorua","North Island general electorates","Female",1893
"Other Sources of Income","Rotorua","North Island general electorates","Female",591
"No Source of Income During That Time(3)","Rotorua","North Island general electorates","Female",2136
"Not Stated","Rotorua","North Island general electorates","Female",3099
"Wages, Salary, Commissions, Bonuses etc","Tamaki","North Island general electorates","Female",13245
"Self–employment or Business","Tamaki","North Island general electorates","Female",3351
"Interest, Dividends, Rent, Other Invest.","Tamaki","North Island general electorates","Female",7326
"Payments from a Work Accident Insurer","Tamaki","North Island general electorates","Female",126
"NZ Superannuation or Veterans Pension","Tamaki","North Island general electorates","Female",4152
"Other Super., Pensions, Annuities","Tamaki","North Island general electorates","Female",651
"Unemployment Benefit","Tamaki","North Island general electorates","Female",450
"Sickness Benefit","Tamaki","North Island general electorates","Female",432
"Domestic Purposes Benefit","Tamaki","North Island general electorates","Female",525
"Invalids Benefit","Tamaki","North Island general electorates","Female",252
"Student Allowance","Tamaki","North Island general electorates","Female",603
"Other Govt Benefits, Payments or Pension","Tamaki","North Island general electorates","Female",924
"Other Sources of Income","Tamaki","North Island general electorates","Female",621
"No Source of Income During That Time(3)","Tamaki","North Island general electorates","Female",2166
"Not Stated","Tamaki","North Island general electorates","Female",1875
"Wages, Salary, Commissions, Bonuses etc","Taranaki-King Country","North Island general electorates","Female",13467
"Self–employment or Business","Taranaki-King Country","North Island general electorates","Female",4704
"Interest, Dividends, Rent, Other Invest.","Taranaki-King Country","North Island general electorates","Female",5403
"Payments from a Work Accident Insurer","Taranaki-King Country","North Island general electorates","Female",288
"NZ Superannuation or Veterans Pension","Taranaki-King Country","North Island general electorates","Female",4386
"Other Super., Pensions, Annuities","Taranaki-King Country","North Island general electorates","Female",420
"Unemployment Benefit","Taranaki-King Country","North Island general electorates","Female",414
"Sickness Benefit","Taranaki-King Country","North Island general electorates","Female",495
"Domestic Purposes Benefit","Taranaki-King Country","North Island general electorates","Female",1200
"Invalids Benefit","Taranaki-King Country","North Island general electorates","Female",564
"Student Allowance","Taranaki-King Country","North Island general electorates","Female",456
"Other Govt Benefits, Payments or Pension","Taranaki-King Country","North Island general electorates","Female",1746
"Other Sources of Income","Taranaki-King Country","North Island general electorates","Female",558
"No Source of Income During That Time(3)","Taranaki-King Country","North Island general electorates","Female",1833
"Not Stated","Taranaki-King Country","North Island general electorates","Female",1713
"Wages, Salary, Commissions, Bonuses etc","Taupo","North Island general electorates","Female",14940
"Self–employment or Business","Taupo","North Island general electorates","Female",3783
"Interest, Dividends, Rent, Other Invest.","Taupo","North Island general electorates","Female",5562
"Payments from a Work Accident Insurer","Taupo","North Island general electorates","Female",294
"NZ Superannuation or Veterans Pension","Taupo","North Island general electorates","Female",5958
"Other Super., Pensions, Annuities","Taupo","North Island general electorates","Female",660
"Unemployment Benefit","Taupo","North Island general electorates","Female",690
"Sickness Benefit","Taupo","North Island general electorates","Female",663
"Domestic Purposes Benefit","Taupo","North Island general electorates","Female",1680
"Invalids Benefit","Taupo","North Island general electorates","Female",654
"Student Allowance","Taupo","North Island general electorates","Female",450
"Other Govt Benefits, Payments or Pension","Taupo","North Island general electorates","Female",1902
"Other Sources of Income","Taupo","North Island general electorates","Female",639
"No Source of Income During That Time(3)","Taupo","North Island general electorates","Female",2100
"Not Stated","Taupo","North Island general electorates","Female",2022
"Wages, Salary, Commissions, Bonuses etc","Tauranga","North Island general electorates","Female",13398
"Self–employment or Business","Tauranga","North Island general electorates","Female",3006
"Interest, Dividends, Rent, Other Invest.","Tauranga","North Island general electorates","Female",6564
"Payments from a Work Accident Insurer","Tauranga","North Island general electorates","Female",225
"NZ Superannuation or Veterans Pension","Tauranga","North Island general electorates","Female",6594
"Other Super., Pensions, Annuities","Tauranga","North Island general electorates","Female",792
"Unemployment Benefit","Tauranga","North Island general electorates","Female",552
"Sickness Benefit","Tauranga","North Island general electorates","Female",708
"Domestic Purposes Benefit","Tauranga","North Island general electorates","Female",1341
"Invalids Benefit","Tauranga","North Island general electorates","Female",648
"Student Allowance","Tauranga","North Island general electorates","Female",663
"Other Govt Benefits, Payments or Pension","Tauranga","North Island general electorates","Female",1686
"Other Sources of Income","Tauranga","North Island general electorates","Female",654
"No Source of Income During That Time(3)","Tauranga","North Island general electorates","Female",1722
"Not Stated","Tauranga","North Island general electorates","Female",1596
"Wages, Salary, Commissions, Bonuses etc","Te Atatu","North Island general electorates","Female",13578
"Self–employment or Business","Te Atatu","North Island general electorates","Female",1890
"Interest, Dividends, Rent, Other Invest.","Te Atatu","North Island general electorates","Female",3069
"Payments from a Work Accident Insurer","Te Atatu","North Island general electorates","Female",156
"NZ Superannuation or Veterans Pension","Te Atatu","North Island general electorates","Female",3630
"Other Super., Pensions, Annuities","Te Atatu","North Island general electorates","Female",402
"Unemployment Benefit","Te Atatu","North Island general electorates","Female",765
"Sickness Benefit","Te Atatu","North Island general electorates","Female",969
"Domestic Purposes Benefit","Te Atatu","North Island general electorates","Female",1578
"Invalids Benefit","Te Atatu","North Island general electorates","Female",651
"Student Allowance","Te Atatu","North Island general electorates","Female",900
"Other Govt Benefits, Payments or Pension","Te Atatu","North Island general electorates","Female",1809
"Other Sources of Income","Te Atatu","North Island general electorates","Female",495
"No Source of Income During That Time(3)","Te Atatu","North Island general electorates","Female",2898
"Not Stated","Te Atatu","North Island general electorates","Female",2277
"Wages, Salary, Commissions, Bonuses etc","Tukituki","North Island general electorates","Female",15144
"Self–employment or Business","Tukituki","North Island general electorates","Female",3156
"Interest, Dividends, Rent, Other Invest.","Tukituki","North Island general electorates","Female",5613
"Payments from a Work Accident Insurer","Tukituki","North Island general electorates","Female",294
"NZ Superannuation or Veterans Pension","Tukituki","North Island general electorates","Female",5514
"Other Super., Pensions, Annuities","Tukituki","North Island general electorates","Female",627
"Unemployment Benefit","Tukituki","North Island general electorates","Female",693
"Sickness Benefit","Tukituki","North Island general electorates","Female",717
"Domestic Purposes Benefit","Tukituki","North Island general electorates","Female",1758
"Invalids Benefit","Tukituki","North Island general electorates","Female",843
"Student Allowance","Tukituki","North Island general electorates","Female",558
"Other Govt Benefits, Payments or Pension","Tukituki","North Island general electorates","Female",1917
"Other Sources of Income","Tukituki","North Island general electorates","Female",579
"No Source of Income During That Time(3)","Tukituki","North Island general electorates","Female",1908
"Not Stated","Tukituki","North Island general electorates","Female",2406
"Wages, Salary, Commissions, Bonuses etc","Upper Harbour","North Island general electorates","Female",14538
"Self–employment or Business","Upper Harbour","North Island general electorates","Female",2301
"Interest, Dividends, Rent, Other Invest.","Upper Harbour","North Island general electorates","Female",3423
"Payments from a Work Accident Insurer","Upper Harbour","North Island general electorates","Female",165
"NZ Superannuation or Veterans Pension","Upper Harbour","North Island general electorates","Female",2595
"Other Super., Pensions, Annuities","Upper Harbour","North Island general electorates","Female",318
"Unemployment Benefit","Upper Harbour","North Island general electorates","Female",612
"Sickness Benefit","Upper Harbour","North Island general electorates","Female",672
"Domestic Purposes Benefit","Upper Harbour","North Island general electorates","Female",1155
"Invalids Benefit","Upper Harbour","North Island general electorates","Female",417
"Student Allowance","Upper Harbour","North Island general electorates","Female",810
"Other Govt Benefits, Payments or Pension","Upper Harbour","North Island general electorates","Female",1614
"Other Sources of Income","Upper Harbour","North Island general electorates","Female",603
"No Source of Income During That Time(3)","Upper Harbour","North Island general electorates","Female",2940
"Not Stated","Upper Harbour","North Island general electorates","Female",1971
"Wages, Salary, Commissions, Bonuses etc","Waikato","North Island general electorates","Female",14073
"Self–employment or Business","Waikato","North Island general electorates","Female",4476
"Interest, Dividends, Rent, Other Invest.","Waikato","North Island general electorates","Female",5319
"Payments from a Work Accident Insurer","Waikato","North Island general electorates","Female",267
"NZ Superannuation or Veterans Pension","Waikato","North Island general electorates","Female",4794
"Other Super., Pensions, Annuities","Waikato","North Island general electorates","Female",444
"Unemployment Benefit","Waikato","North Island general electorates","Female",624
"Sickness Benefit","Waikato","North Island general electorates","Female",642
"Domestic Purposes Benefit","Waikato","North Island general electorates","Female",1542
"Invalids Benefit","Waikato","North Island general electorates","Female",594
"Student Allowance","Waikato","North Island general electorates","Female",480
"Other Govt Benefits, Payments or Pension","Waikato","North Island general electorates","Female",1710
"Other Sources of Income","Waikato","North Island general electorates","Female",579
"No Source of Income During That Time(3)","Waikato","North Island general electorates","Female",2205
"Not Stated","Waikato","North Island general electorates","Female",1995
"Wages, Salary, Commissions, Bonuses etc","Wairarapa","North Island general electorates","Female",13668
"Self–employment or Business","Wairarapa","North Island general electorates","Female",3837
"Interest, Dividends, Rent, Other Invest.","Wairarapa","North Island general electorates","Female",5622
"Payments from a Work Accident Insurer","Wairarapa","North Island general electorates","Female",291
"NZ Superannuation or Veterans Pension","Wairarapa","North Island general electorates","Female",6159
"Other Super., Pensions, Annuities","Wairarapa","North Island general electorates","Female",630
"Unemployment Benefit","Wairarapa","North Island general electorates","Female",690
"Sickness Benefit","Wairarapa","North Island general electorates","Female",621
"Domestic Purposes Benefit","Wairarapa","North Island general electorates","Female",1383
"Invalids Benefit","Wairarapa","North Island general electorates","Female",903
"Student Allowance","Wairarapa","North Island general electorates","Female",354
"Other Govt Benefits, Payments or Pension","Wairarapa","North Island general electorates","Female",1728
"Other Sources of Income","Wairarapa","North Island general electorates","Female",534
"No Source of Income During That Time(3)","Wairarapa","North Island general electorates","Female",1638
"Not Stated","Wairarapa","North Island general electorates","Female",1569
"Wages, Salary, Commissions, Bonuses etc","Wellington Central","North Island general electorates","Female",19860
"Self–employment or Business","Wellington Central","North Island general electorates","Female",3027
"Interest, Dividends, Rent, Other Invest.","Wellington Central","North Island general electorates","Female",6885
"Payments from a Work Accident Insurer","Wellington Central","North Island general electorates","Female",147
"NZ Superannuation or Veterans Pension","Wellington Central","North Island general electorates","Female",2295
"Other Super., Pensions, Annuities","Wellington Central","North Island general electorates","Female",696
"Unemployment Benefit","Wellington Central","North Island general electorates","Female",717
"Sickness Benefit","Wellington Central","North Island general electorates","Female",321
"Domestic Purposes Benefit","Wellington Central","North Island general electorates","Female",249
"Invalids Benefit","Wellington Central","North Island general electorates","Female",273
"Student Allowance","Wellington Central","North Island general electorates","Female",2577
"Other Govt Benefits, Payments or Pension","Wellington Central","North Island general electorates","Female",1065
"Other Sources of Income","Wellington Central","North Island general electorates","Female",1614
