"level0","level1","level2","Number of children born alive","count"
"60–64 Years","New Lynn","North Island general electorates","Not Elsewhere Included(2)",141
"65–69 Years","New Lynn","North Island general electorates","Not Elsewhere Included(2)",105
"70–74 Years","New Lynn","North Island general electorates","Not Elsewhere Included(2)",111
"75–79 Years","New Lynn","North Island general electorates","Not Elsewhere Included(2)",81
"80–84 Years","New Lynn","North Island general electorates","Not Elsewhere Included(2)",81
"85 Years And Over","New Lynn","North Island general electorates","Not Elsewhere Included(2)",75
"15–19 Years","New Plymouth","North Island general electorates","Not Elsewhere Included(2)",159
"20–24 Years","New Plymouth","North Island general electorates","Not Elsewhere Included(2)",171
"25–29 Years","New Plymouth","North Island general electorates","Not Elsewhere Included(2)",132
"30–34 Years","New Plymouth","North Island general electorates","Not Elsewhere Included(2)",120
"35–39 Years","New Plymouth","North Island general electorates","Not Elsewhere Included(2)",120
"40–44 Years","New Plymouth","North Island general electorates","Not Elsewhere Included(2)",159
"45–49 Years","New Plymouth","North Island general electorates","Not Elsewhere Included(2)",138
"50–54 Years","New Plymouth","North Island general electorates","Not Elsewhere Included(2)",168
"55–59 Years","New Plymouth","North Island general electorates","Not Elsewhere Included(2)",156
"60–64 Years","New Plymouth","North Island general electorates","Not Elsewhere Included(2)",129
"65–69 Years","New Plymouth","North Island general electorates","Not Elsewhere Included(2)",120
"70–74 Years","New Plymouth","North Island general electorates","Not Elsewhere Included(2)",87
"75–79 Years","New Plymouth","North Island general electorates","Not Elsewhere Included(2)",87
"80–84 Years","New Plymouth","North Island general electorates","Not Elsewhere Included(2)",99
"85 Years And Over","New Plymouth","North Island general electorates","Not Elsewhere Included(2)",165
"15–19 Years","North Shore","North Island general electorates","Not Elsewhere Included(2)",147
"20–24 Years","North Shore","North Island general electorates","Not Elsewhere Included(2)",138
"25–29 Years","North Shore","North Island general electorates","Not Elsewhere Included(2)",102
"30–34 Years","North Shore","North Island general electorates","Not Elsewhere Included(2)",99
"35–39 Years","North Shore","North Island general electorates","Not Elsewhere Included(2)",102
"40–44 Years","North Shore","North Island general electorates","Not Elsewhere Included(2)",114
"45–49 Years","North Shore","North Island general electorates","Not Elsewhere Included(2)",117
"50–54 Years","North Shore","North Island general electorates","Not Elsewhere Included(2)",123
"55–59 Years","North Shore","North Island general electorates","Not Elsewhere Included(2)",96
"60–64 Years","North Shore","North Island general electorates","Not Elsewhere Included(2)",87
"65–69 Years","North Shore","North Island general electorates","Not Elsewhere Included(2)",66
"70–74 Years","North Shore","North Island general electorates","Not Elsewhere Included(2)",63
"75–79 Years","North Shore","North Island general electorates","Not Elsewhere Included(2)",45
"80–84 Years","North Shore","North Island general electorates","Not Elsewhere Included(2)",45
"85 Years And Over","North Shore","North Island general electorates","Not Elsewhere Included(2)",87
"15–19 Years","Northcote","North Island general electorates","Not Elsewhere Included(2)",192
"20–24 Years","Northcote","North Island general electorates","Not Elsewhere Included(2)",207
"25–29 Years","Northcote","North Island general electorates","Not Elsewhere Included(2)",201
"30–34 Years","Northcote","North Island general electorates","Not Elsewhere Included(2)",180
"35–39 Years","Northcote","North Island general electorates","Not Elsewhere Included(2)",117
"40–44 Years","Northcote","North Island general electorates","Not Elsewhere Included(2)",171
"45–49 Years","Northcote","North Island general electorates","Not Elsewhere Included(2)",120
"50–54 Years","Northcote","North Island general electorates","Not Elsewhere Included(2)",129
"55–59 Years","Northcote","North Island general electorates","Not Elsewhere Included(2)",141
"60–64 Years","Northcote","North Island general electorates","Not Elsewhere Included(2)",105
"65–69 Years","Northcote","North Island general electorates","Not Elsewhere Included(2)",96
"70–74 Years","Northcote","North Island general electorates","Not Elsewhere Included(2)",72
"75–79 Years","Northcote","North Island general electorates","Not Elsewhere Included(2)",63
"80–84 Years","Northcote","North Island general electorates","Not Elsewhere Included(2)",48
"85 Years And Over","Northcote","North Island general electorates","Not Elsewhere Included(2)",111
"15–19 Years","Northland","North Island general electorates","Not Elsewhere Included(2)",378
"20–24 Years","Northland","North Island general electorates","Not Elsewhere Included(2)",294
"25–29 Years","Northland","North Island general electorates","Not Elsewhere Included(2)",240
"30–34 Years","Northland","North Island general electorates","Not Elsewhere Included(2)",216
"35–39 Years","Northland","North Island general electorates","Not Elsewhere Included(2)",225
"40–44 Years","Northland","North Island general electorates","Not Elsewhere Included(2)",279
"45–49 Years","Northland","North Island general electorates","Not Elsewhere Included(2)",342
"50–54 Years","Northland","North Island general electorates","Not Elsewhere Included(2)",396
"55–59 Years","Northland","North Island general electorates","Not Elsewhere Included(2)",333
"60–64 Years","Northland","North Island general electorates","Not Elsewhere Included(2)",312
"65–69 Years","Northland","North Island general electorates","Not Elsewhere Included(2)",258
"70–74 Years","Northland","North Island general electorates","Not Elsewhere Included(2)",219
"75–79 Years","Northland","North Island general electorates","Not Elsewhere Included(2)",147
"80–84 Years","Northland","North Island general electorates","Not Elsewhere Included(2)",99
"85 Years And Over","Northland","North Island general electorates","Not Elsewhere Included(2)",78
"15–19 Years","Ohariu","North Island general electorates","Not Elsewhere Included(2)",117
"20–24 Years","Ohariu","North Island general electorates","Not Elsewhere Included(2)",96
"25–29 Years","Ohariu","North Island general electorates","Not Elsewhere Included(2)",99
"30–34 Years","Ohariu","North Island general electorates","Not Elsewhere Included(2)",87
"35–39 Years","Ohariu","North Island general electorates","Not Elsewhere Included(2)",105
"40–44 Years","Ohariu","North Island general electorates","Not Elsewhere Included(2)",102
"45–49 Years","Ohariu","North Island general electorates","Not Elsewhere Included(2)",90
"50–54 Years","Ohariu","North Island general electorates","Not Elsewhere Included(2)",87
"55–59 Years","Ohariu","North Island general electorates","Not Elsewhere Included(2)",105
"60–64 Years","Ohariu","North Island general electorates","Not Elsewhere Included(2)",69
"65–69 Years","Ohariu","North Island general electorates","Not Elsewhere Included(2)",66
"70–74 Years","Ohariu","North Island general electorates","Not Elsewhere Included(2)",36
"75–79 Years","Ohariu","North Island general electorates","Not Elsewhere Included(2)",24
"80–84 Years","Ohariu","North Island general electorates","Not Elsewhere Included(2)",24
"85 Years And Over","Ohariu","North Island general electorates","Not Elsewhere Included(2)",21
"15–19 Years","Otaki","North Island general electorates","Not Elsewhere Included(2)",162
"20–24 Years","Otaki","North Island general electorates","Not Elsewhere Included(2)",114
"25–29 Years","Otaki","North Island general electorates","Not Elsewhere Included(2)",84
"30–34 Years","Otaki","North Island general electorates","Not Elsewhere Included(2)",90
"35–39 Years","Otaki","North Island general electorates","Not Elsewhere Included(2)",108
"40–44 Years","Otaki","North Island general electorates","Not Elsewhere Included(2)",102
"45–49 Years","Otaki","North Island general electorates","Not Elsewhere Included(2)",129
"50–54 Years","Otaki","North Island general electorates","Not Elsewhere Included(2)",147
"55–59 Years","Otaki","North Island general electorates","Not Elsewhere Included(2)",129
"60–64 Years","Otaki","North Island general electorates","Not Elsewhere Included(2)",135
"65–69 Years","Otaki","North Island general electorates","Not Elsewhere Included(2)",123
"70–74 Years","Otaki","North Island general electorates","Not Elsewhere Included(2)",123
"75–79 Years","Otaki","North Island general electorates","Not Elsewhere Included(2)",126
"80–84 Years","Otaki","North Island general electorates","Not Elsewhere Included(2)",129
"85 Years And Over","Otaki","North Island general electorates","Not Elsewhere Included(2)",174
"15–19 Years","Pakuranga","North Island general electorates","Not Elsewhere Included(2)",162
"20–24 Years","Pakuranga","North Island general electorates","Not Elsewhere Included(2)",120
"25–29 Years","Pakuranga","North Island general electorates","Not Elsewhere Included(2)",87
"30–34 Years","Pakuranga","North Island general electorates","Not Elsewhere Included(2)",117
"35–39 Years","Pakuranga","North Island general electorates","Not Elsewhere Included(2)",99
"40–44 Years","Pakuranga","North Island general electorates","Not Elsewhere Included(2)",144
"45–49 Years","Pakuranga","North Island general electorates","Not Elsewhere Included(2)",108
"50–54 Years","Pakuranga","North Island general electorates","Not Elsewhere Included(2)",117
"55–59 Years","Pakuranga","North Island general electorates","Not Elsewhere Included(2)",120
"60–64 Years","Pakuranga","North Island general electorates","Not Elsewhere Included(2)",114
"65–69 Years","Pakuranga","North Island general electorates","Not Elsewhere Included(2)",81
"70–74 Years","Pakuranga","North Island general electorates","Not Elsewhere Included(2)",78
"75–79 Years","Pakuranga","North Island general electorates","Not Elsewhere Included(2)",42
"80–84 Years","Pakuranga","North Island general electorates","Not Elsewhere Included(2)",48
"85 Years And Over","Pakuranga","North Island general electorates","Not Elsewhere Included(2)",57
"15–19 Years","Palmerston North","North Island general electorates","Not Elsewhere Included(2)",216
"20–24 Years","Palmerston North","North Island general electorates","Not Elsewhere Included(2)",285
"25–29 Years","Palmerston North","North Island general electorates","Not Elsewhere Included(2)",204
"30–34 Years","Palmerston North","North Island general electorates","Not Elsewhere Included(2)",168
"35–39 Years","Palmerston North","North Island general electorates","Not Elsewhere Included(2)",123
"40–44 Years","Palmerston North","North Island general electorates","Not Elsewhere Included(2)",114
"45–49 Years","Palmerston North","North Island general electorates","Not Elsewhere Included(2)",123
"50–54 Years","Palmerston North","North Island general electorates","Not Elsewhere Included(2)",147
"55–59 Years","Palmerston North","North Island general electorates","Not Elsewhere Included(2)",108
"60–64 Years","Palmerston North","North Island general electorates","Not Elsewhere Included(2)",105
"65–69 Years","Palmerston North","North Island general electorates","Not Elsewhere Included(2)",78
"70–74 Years","Palmerston North","North Island general electorates","Not Elsewhere Included(2)",75
"75–79 Years","Palmerston North","North Island general electorates","Not Elsewhere Included(2)",66
"80–84 Years","Palmerston North","North Island general electorates","Not Elsewhere Included(2)",69
"85 Years And Over","Palmerston North","North Island general electorates","Not Elsewhere Included(2)",93
"15–19 Years","Papakura","North Island general electorates","Not Elsewhere Included(2)",318
"20–24 Years","Papakura","North Island general electorates","Not Elsewhere Included(2)",249
"25–29 Years","Papakura","North Island general electorates","Not Elsewhere Included(2)",204
"30–34 Years","Papakura","North Island general electorates","Not Elsewhere Included(2)",216
"35–39 Years","Papakura","North Island general electorates","Not Elsewhere Included(2)",210
"40–44 Years","Papakura","North Island general electorates","Not Elsewhere Included(2)",252
"45–49 Years","Papakura","North Island general electorates","Not Elsewhere Included(2)",243
"50–54 Years","Papakura","North Island general electorates","Not Elsewhere Included(2)",240
"55–59 Years","Papakura","North Island general electorates","Not Elsewhere Included(2)",174
"60–64 Years","Papakura","North Island general electorates","Not Elsewhere Included(2)",141
"65–69 Years","Papakura","North Island general electorates","Not Elsewhere Included(2)",102
"70–74 Years","Papakura","North Island general electorates","Not Elsewhere Included(2)",105
"75–79 Years","Papakura","North Island general electorates","Not Elsewhere Included(2)",66
"80–84 Years","Papakura","North Island general electorates","Not Elsewhere Included(2)",78
"85 Years And Over","Papakura","North Island general electorates","Not Elsewhere Included(2)",72
"15–19 Years","Rangitikei","North Island general electorates","Not Elsewhere Included(2)",171
"20–24 Years","Rangitikei","North Island general electorates","Not Elsewhere Included(2)",132
"25–29 Years","Rangitikei","North Island general electorates","Not Elsewhere Included(2)",120
"30–34 Years","Rangitikei","North Island general electorates","Not Elsewhere Included(2)",87
"35–39 Years","Rangitikei","North Island general electorates","Not Elsewhere Included(2)",105
"40–44 Years","Rangitikei","North Island general electorates","Not Elsewhere Included(2)",129
"45–49 Years","Rangitikei","North Island general electorates","Not Elsewhere Included(2)",126
"50–54 Years","Rangitikei","North Island general electorates","Not Elsewhere Included(2)",153
"55–59 Years","Rangitikei","North Island general electorates","Not Elsewhere Included(2)",105
"60–64 Years","Rangitikei","North Island general electorates","Not Elsewhere Included(2)",120
"65–69 Years","Rangitikei","North Island general electorates","Not Elsewhere Included(2)",75
"70–74 Years","Rangitikei","North Island general electorates","Not Elsewhere Included(2)",78
"75–79 Years","Rangitikei","North Island general electorates","Not Elsewhere Included(2)",69
"80–84 Years","Rangitikei","North Island general electorates","Not Elsewhere Included(2)",54
"85 Years And Over","Rangitikei","North Island general electorates","Not Elsewhere Included(2)",75
"15–19 Years","Rimutaka","North Island general electorates","Not Elsewhere Included(2)",234
"20–24 Years","Rimutaka","North Island general electorates","Not Elsewhere Included(2)",171
"25–29 Years","Rimutaka","North Island general electorates","Not Elsewhere Included(2)",159
"30–34 Years","Rimutaka","North Island general electorates","Not Elsewhere Included(2)",150
"35–39 Years","Rimutaka","North Island general electorates","Not Elsewhere Included(2)",183
"40–44 Years","Rimutaka","North Island general electorates","Not Elsewhere Included(2)",177
"45–49 Years","Rimutaka","North Island general electorates","Not Elsewhere Included(2)",177
"50–54 Years","Rimutaka","North Island general electorates","Not Elsewhere Included(2)",171
"55–59 Years","Rimutaka","North Island general electorates","Not Elsewhere Included(2)",129
"60–64 Years","Rimutaka","North Island general electorates","Not Elsewhere Included(2)",135
"65–69 Years","Rimutaka","North Island general electorates","Not Elsewhere Included(2)",132
"70–74 Years","Rimutaka","North Island general electorates","Not Elsewhere Included(2)",81
"75–79 Years","Rimutaka","North Island general electorates","Not Elsewhere Included(2)",75
"80–84 Years","Rimutaka","North Island general electorates","Not Elsewhere Included(2)",66
"85 Years And Over","Rimutaka","North Island general electorates","Not Elsewhere Included(2)",105
"15–19 Years","Rodney","North Island general electorates","Not Elsewhere Included(2)",147
"20–24 Years","Rodney","North Island general electorates","Not Elsewhere Included(2)",78
"25–29 Years","Rodney","North Island general electorates","Not Elsewhere Included(2)",102
"30–34 Years","Rodney","North Island general electorates","Not Elsewhere Included(2)",75
"35–39 Years","Rodney","North Island general electorates","Not Elsewhere Included(2)",81
"40–44 Years","Rodney","North Island general electorates","Not Elsewhere Included(2)",123
"45–49 Years","Rodney","North Island general electorates","Not Elsewhere Included(2)",138
"50–54 Years","Rodney","North Island general electorates","Not Elsewhere Included(2)",120
"55–59 Years","Rodney","North Island general electorates","Not Elsewhere Included(2)",108
"60–64 Years","Rodney","North Island general electorates","Not Elsewhere Included(2)",126
"65–69 Years","Rodney","North Island general electorates","Not Elsewhere Included(2)",126
"70–74 Years","Rodney","North Island general electorates","Not Elsewhere Included(2)",99
"75–79 Years","Rodney","North Island general electorates","Not Elsewhere Included(2)",78
"80–84 Years","Rodney","North Island general electorates","Not Elsewhere Included(2)",87
"85 Years And Over","Rodney","North Island general electorates","Not Elsewhere Included(2)",150
"15–19 Years","Rongotai","North Island general electorates","Not Elsewhere Included(2)",144
"20–24 Years","Rongotai","North Island general electorates","Not Elsewhere Included(2)",228
"25–29 Years","Rongotai","North Island general electorates","Not Elsewhere Included(2)",174
"30–34 Years","Rongotai","North Island general electorates","Not Elsewhere Included(2)",180
"35–39 Years","Rongotai","North Island general electorates","Not Elsewhere Included(2)",156
"40–44 Years","Rongotai","North Island general electorates","Not Elsewhere Included(2)",159
"45–49 Years","Rongotai","North Island general electorates","Not Elsewhere Included(2)",150
"50–54 Years","Rongotai","North Island general electorates","Not Elsewhere Included(2)",156
"55–59 Years","Rongotai","North Island general electorates","Not Elsewhere Included(2)",126
"60–64 Years","Rongotai","North Island general electorates","Not Elsewhere Included(2)",87
"65–69 Years","Rongotai","North Island general electorates","Not Elsewhere Included(2)",78
"70–74 Years","Rongotai","North Island general electorates","Not Elsewhere Included(2)",63
"75–79 Years","Rongotai","North Island general electorates","Not Elsewhere Included(2)",54
"80–84 Years","Rongotai","North Island general electorates","Not Elsewhere Included(2)",57
"85 Years And Over","Rongotai","North Island general electorates","Not Elsewhere Included(2)",96
"15–19 Years","Rotorua","North Island general electorates","Not Elsewhere Included(2)",342
"20–24 Years","Rotorua","North Island general electorates","Not Elsewhere Included(2)",282
"25–29 Years","Rotorua","North Island general electorates","Not Elsewhere Included(2)",288
"30–34 Years","Rotorua","North Island general electorates","Not Elsewhere Included(2)",210
"35–39 Years","Rotorua","North Island general electorates","Not Elsewhere Included(2)",225
"40–44 Years","Rotorua","North Island general electorates","Not Elsewhere Included(2)",249
"45–49 Years","Rotorua","North Island general electorates","Not Elsewhere Included(2)",246
"50–54 Years","Rotorua","North Island general electorates","Not Elsewhere Included(2)",285
"55–59 Years","Rotorua","North Island general electorates","Not Elsewhere Included(2)",240
"60–64 Years","Rotorua","North Island general electorates","Not Elsewhere Included(2)",222
"65–69 Years","Rotorua","North Island general electorates","Not Elsewhere Included(2)",189
"70–74 Years","Rotorua","North Island general electorates","Not Elsewhere Included(2)",135
"75–79 Years","Rotorua","North Island general electorates","Not Elsewhere Included(2)",123
"80–84 Years","Rotorua","North Island general electorates","Not Elsewhere Included(2)",111
"85 Years And Over","Rotorua","North Island general electorates","Not Elsewhere Included(2)",153
"15–19 Years","Tamaki","North Island general electorates","Not Elsewhere Included(2)",180
"20–24 Years","Tamaki","North Island general electorates","Not Elsewhere Included(2)",180
"25–29 Years","Tamaki","North Island general electorates","Not Elsewhere Included(2)",162
"30–34 Years","Tamaki","North Island general electorates","Not Elsewhere Included(2)",162
"35–39 Years","Tamaki","North Island general electorates","Not Elsewhere Included(2)",129
"40–44 Years","Tamaki","North Island general electorates","Not Elsewhere Included(2)",171
"45–49 Years","Tamaki","North Island general electorates","Not Elsewhere Included(2)",174
"50–54 Years","Tamaki","North Island general electorates","Not Elsewhere Included(2)",132
"55–59 Years","Tamaki","North Island general electorates","Not Elsewhere Included(2)",147
"60–64 Years","Tamaki","North Island general electorates","Not Elsewhere Included(2)",138
"65–69 Years","Tamaki","North Island general electorates","Not Elsewhere Included(2)",102
"70–74 Years","Tamaki","North Island general electorates","Not Elsewhere Included(2)",63
"75–79 Years","Tamaki","North Island general electorates","Not Elsewhere Included(2)",78
"80–84 Years","Tamaki","North Island general electorates","Not Elsewhere Included(2)",84
"85 Years And Over","Tamaki","North Island general electorates","Not Elsewhere Included(2)",156
"15–19 Years","Taranaki-King Country","North Island general electorates","Not Elsewhere Included(2)",201
"20–24 Years","Taranaki-King Country","North Island general electorates","Not Elsewhere Included(2)",120
"25–29 Years","Taranaki-King Country","North Island general electorates","Not Elsewhere Included(2)",129
"30–34 Years","Taranaki-King Country","North Island general electorates","Not Elsewhere Included(2)",132
"35–39 Years","Taranaki-King Country","North Island general electorates","Not Elsewhere Included(2)",150
"40–44 Years","Taranaki-King Country","North Island general electorates","Not Elsewhere Included(2)",144
"45–49 Years","Taranaki-King Country","North Island general electorates","Not Elsewhere Included(2)",144
"50–54 Years","Taranaki-King Country","North Island general electorates","Not Elsewhere Included(2)",168
"55–59 Years","Taranaki-King Country","North Island general electorates","Not Elsewhere Included(2)",165
"60–64 Years","Taranaki-King Country","North Island general electorates","Not Elsewhere Included(2)",123
"65–69 Years","Taranaki-King Country","North Island general electorates","Not Elsewhere Included(2)",108
"70–74 Years","Taranaki-King Country","North Island general electorates","Not Elsewhere Included(2)",93
"75–79 Years","Taranaki-King Country","North Island general electorates","Not Elsewhere Included(2)",63
"80–84 Years","Taranaki-King Country","North Island general electorates","Not Elsewhere Included(2)",69
"85 Years And Over","Taranaki-King Country","North Island general electorates","Not Elsewhere Included(2)",57
"15–19 Years","Taupo","North Island general electorates","Not Elsewhere Included(2)",249
"20–24 Years","Taupo","North Island general electorates","Not Elsewhere Included(2)",165
"25–29 Years","Taupo","North Island general electorates","Not Elsewhere Included(2)",147
"30–34 Years","Taupo","North Island general electorates","Not Elsewhere Included(2)",156
"35–39 Years","Taupo","North Island general electorates","Not Elsewhere Included(2)",162
"40–44 Years","Taupo","North Island general electorates","Not Elsewhere Included(2)",165
"45–49 Years","Taupo","North Island general electorates","Not Elsewhere Included(2)",183
"50–54 Years","Taupo","North Island general electorates","Not Elsewhere Included(2)",180
"55–59 Years","Taupo","North Island general electorates","Not Elsewhere Included(2)",153
"60–64 Years","Taupo","North Island general electorates","Not Elsewhere Included(2)",126
"65–69 Years","Taupo","North Island general electorates","Not Elsewhere Included(2)",153
"70–74 Years","Taupo","North Island general electorates","Not Elsewhere Included(2)",111
"75–79 Years","Taupo","North Island general electorates","Not Elsewhere Included(2)",87
"80–84 Years","Taupo","North Island general electorates","Not Elsewhere Included(2)",87
"85 Years And Over","Taupo","North Island general electorates","Not Elsewhere Included(2)",90
"15–19 Years","Tauranga","North Island general electorates","Not Elsewhere Included(2)",171
"20–24 Years","Tauranga","North Island general electorates","Not Elsewhere Included(2)",144
"25–29 Years","Tauranga","North Island general electorates","Not Elsewhere Included(2)",153
"30–34 Years","Tauranga","North Island general electorates","Not Elsewhere Included(2)",114
"35–39 Years","Tauranga","North Island general electorates","Not Elsewhere Included(2)",123
"40–44 Years","Tauranga","North Island general electorates","Not Elsewhere Included(2)",138
"45–49 Years","Tauranga","North Island general electorates","Not Elsewhere Included(2)",123
"50–54 Years","Tauranga","North Island general electorates","Not Elsewhere Included(2)",120
"55–59 Years","Tauranga","North Island general electorates","Not Elsewhere Included(2)",138
"60–64 Years","Tauranga","North Island general electorates","Not Elsewhere Included(2)",111
"65–69 Years","Tauranga","North Island general electorates","Not Elsewhere Included(2)",120
"70–74 Years","Tauranga","North Island general electorates","Not Elsewhere Included(2)",72
"75–79 Years","Tauranga","North Island general electorates","Not Elsewhere Included(2)",81
"80–84 Years","Tauranga","North Island general electorates","Not Elsewhere Included(2)",93
"85 Years And Over","Tauranga","North Island general electorates","Not Elsewhere Included(2)",156
"15–19 Years","Te Atatu","North Island general electorates","Not Elsewhere Included(2)",258
"20–24 Years","Te Atatu","North Island general electorates","Not Elsewhere Included(2)",195
"25–29 Years","Te Atatu","North Island general electorates","Not Elsewhere Included(2)",183
"30–34 Years","Te Atatu","North Island general electorates","Not Elsewhere Included(2)",210
"35–39 Years","Te Atatu","North Island general electorates","Not Elsewhere Included(2)",183
"40–44 Years","Te Atatu","North Island general electorates","Not Elsewhere Included(2)",216
"45–49 Years","Te Atatu","North Island general electorates","Not Elsewhere Included(2)",204
"50–54 Years","Te Atatu","North Island general electorates","Not Elsewhere Included(2)",189
"55–59 Years","Te Atatu","North Island general electorates","Not Elsewhere Included(2)",168
"60–64 Years","Te Atatu","North Island general electorates","Not Elsewhere Included(2)",159
"65–69 Years","Te Atatu","North Island general electorates","Not Elsewhere Included(2)",129
"70–74 Years","Te Atatu","North Island general electorates","Not Elsewhere Included(2)",87
"75–79 Years","Te Atatu","North Island general electorates","Not Elsewhere Included(2)",69
"80–84 Years","Te Atatu","North Island general electorates","Not Elsewhere Included(2)",57
"85 Years And Over","Te Atatu","North Island general electorates","Not Elsewhere Included(2)",57
"15–19 Years","Tukituki","North Island general electorates","Not Elsewhere Included(2)",288
"20–24 Years","Tukituki","North Island general electorates","Not Elsewhere Included(2)",195
"25–29 Years","Tukituki","North Island general electorates","Not Elsewhere Included(2)",174
"30–34 Years","Tukituki","North Island general electorates","Not Elsewhere Included(2)",144
"35–39 Years","Tukituki","North Island general electorates","Not Elsewhere Included(2)",189
"40–44 Years","Tukituki","North Island general electorates","Not Elsewhere Included(2)",216
"45–49 Years","Tukituki","North Island general electorates","Not Elsewhere Included(2)",192
"50–54 Years","Tukituki","North Island general electorates","Not Elsewhere Included(2)",213
"55–59 Years","Tukituki","North Island general electorates","Not Elsewhere Included(2)",159
"60–64 Years","Tukituki","North Island general electorates","Not Elsewhere Included(2)",186
"65–69 Years","Tukituki","North Island general electorates","Not Elsewhere Included(2)",132
"70–74 Years","Tukituki","North Island general electorates","Not Elsewhere Included(2)",120
"75–79 Years","Tukituki","North Island general electorates","Not Elsewhere Included(2)",99
"80–84 Years","Tukituki","North Island general electorates","Not Elsewhere Included(2)",105
"85 Years And Over","Tukituki","North Island general electorates","Not Elsewhere Included(2)",195
"15–19 Years","Upper Harbour","North Island general electorates","Not Elsewhere Included(2)",204
"20–24 Years","Upper Harbour","North Island general electorates","Not Elsewhere Included(2)",201
"25–29 Years","Upper Harbour","North Island general electorates","Not Elsewhere Included(2)",192
"30–34 Years","Upper Harbour","North Island general electorates","Not Elsewhere Included(2)",192
"35–39 Years","Upper Harbour","North Island general electorates","Not Elsewhere Included(2)",186
"40–44 Years","Upper Harbour","North Island general electorates","Not Elsewhere Included(2)",192
"45–49 Years","Upper Harbour","North Island general electorates","Not Elsewhere Included(2)",192
"50–54 Years","Upper Harbour","North Island general electorates","Not Elsewhere Included(2)",168
"55–59 Years","Upper Harbour","North Island general electorates","Not Elsewhere Included(2)",168
"60–64 Years","Upper Harbour","North Island general electorates","Not Elsewhere Included(2)",132
"65–69 Years","Upper Harbour","North Island general electorates","Not Elsewhere Included(2)",108
"70–74 Years","Upper Harbour","North Island general electorates","Not Elsewhere Included(2)",66
"75–79 Years","Upper Harbour","North Island general electorates","Not Elsewhere Included(2)",60
"80–84 Years","Upper Harbour","North Island general electorates","Not Elsewhere Included(2)",48
"85 Years And Over","Upper Harbour","North Island general electorates","Not Elsewhere Included(2)",48
"15–19 Years","Waikato","North Island general electorates","Not Elsewhere Included(2)",216
"20–24 Years","Waikato","North Island general electorates","Not Elsewhere Included(2)",186
"25–29 Years","Waikato","North Island general electorates","Not Elsewhere Included(2)",153
"30–34 Years","Waikato","North Island general electorates","Not Elsewhere Included(2)",153
"35–39 Years","Waikato","North Island general electorates","Not Elsewhere Included(2)",147
"40–44 Years","Waikato","North Island general electorates","Not Elsewhere Included(2)",177
"45–49 Years","Waikato","North Island general electorates","Not Elsewhere Included(2)",192
"50–54 Years","Waikato","North Island general electorates","Not Elsewhere Included(2)",204
"55–59 Years","Waikato","North Island general electorates","Not Elsewhere Included(2)",165
"60–64 Years","Waikato","North Island general electorates","Not Elsewhere Included(2)",129
"65–69 Years","Waikato","North Island general electorates","Not Elsewhere Included(2)",111
"70–74 Years","Waikato","North Island general electorates","Not Elsewhere Included(2)",87
"75–79 Years","Waikato","North Island general electorates","Not Elsewhere Included(2)",75
"80–84 Years","Waikato","North Island general electorates","Not Elsewhere Included(2)",66
"85 Years And Over","Waikato","North Island general electorates","Not Elsewhere Included(2)",54
"15–19 Years","Wairarapa","North Island general electorates","Not Elsewhere Included(2)",180
"20–24 Years","Wairarapa","North Island general electorates","Not Elsewhere Included(2)",123
"25–29 Years","Wairarapa","North Island general electorates","Not Elsewhere Included(2)",102
"30–34 Years","Wairarapa","North Island general electorates","Not Elsewhere Included(2)",102
"35–39 Years","Wairarapa","North Island general electorates","Not Elsewhere Included(2)",99
"40–44 Years","Wairarapa","North Island general electorates","Not Elsewhere Included(2)",150
"45–49 Years","Wairarapa","North Island general electorates","Not Elsewhere Included(2)",132
"50–54 Years","Wairarapa","North Island general electorates","Not Elsewhere Included(2)",147
"55–59 Years","Wairarapa","North Island general electorates","Not Elsewhere Included(2)",132
"60–64 Years","Wairarapa","North Island general electorates","Not Elsewhere Included(2)",120
"65–69 Years","Wairarapa","North Island general electorates","Not Elsewhere Included(2)",132
"70–74 Years","Wairarapa","North Island general electorates","Not Elsewhere Included(2)",102
"75–79 Years","Wairarapa","North Island general electorates","Not Elsewhere Included(2)",84
"80–84 Years","Wairarapa","North Island general electorates","Not Elsewhere Included(2)",69
"85 Years And Over","Wairarapa","North Island general electorates","Not Elsewhere Included(2)",78
"15–19 Years","Wellington Central","North Island general electorates","Not Elsewhere Included(2)",198
"20–24 Years","Wellington Central","North Island general electorates","Not Elsewhere Included(2)",450
"25–29 Years","Wellington Central","North Island general electorates","Not Elsewhere Included(2)",315
"30–34 Years","Wellington Central","North Island general electorates","Not Elsewhere Included(2)",189
"35–39 Years","Wellington Central","North Island general electorates","Not Elsewhere Included(2)",96
"40–44 Years","Wellington Central","North Island general electorates","Not Elsewhere Included(2)",96
"45–49 Years","Wellington Central","North Island general electorates","Not Elsewhere Included(2)",99
"50–54 Years","Wellington Central","North Island general electorates","Not Elsewhere Included(2)",99
"55–59 Years","Wellington Central","North Island general electorates","Not Elsewhere Included(2)",69
"60–64 Years","Wellington Central","North Island general electorates","Not Elsewhere Included(2)",63
"65–69 Years","Wellington Central","North Island general electorates","Not Elsewhere Included(2)",63
"70–74 Years","Wellington Central","North Island general electorates","Not Elsewhere Included(2)",42
"75–79 Years","Wellington Central","North Island general electorates","Not Elsewhere Included(2)",30
"80–84 Years","Wellington Central","North Island general electorates","Not Elsewhere Included(2)",30
